arm,threads,concurrency,requests,errors,wall_s,req_per_s,watts,gpu_busy_med,gen_tok_s_agg,prompt_tok_s_agg,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,queue_ms_p50,queue_ms_p95,queue_ms_p99,queue_ms_mean,queue_ms_max,service_ms_p50,service_ms_p95,service_ms_p99,service_ms_mean,service_ms_max,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac
baseline-C-t4,4,1,5,0,21.18,0.236,63.0,0,7.56,461.38,4022.03,5134.75,5134.75,4235.11,5134.75,3300.0,4420.95,4420.95,3522.86,4420.95,2.67,9.28,9.28,3.97,9.28,4019.43,5125.47,5125.47,4231.15,5125.47,704,704,0,0,5822887838,0,174620092,0,0.0,8271.147,0.0
baseline-W-t4,4,1,5,0,53.61,0.093,90.2,99.0,11.94,2.8,10698.26,10777.32,10777.32,10722.34,10777.32,435.7,436.69,436.69,434.78,436.69,1.88,86.3,86.3,32.13,86.3,10689.65,10696.56,10696.56,10690.21,10696.56,0,0,0,0,0,0,174620092,0,,,
