arm,threads,concurrency,requests,errors,wall_s,req_per_s,watts,gpu_busy_med,gen_tok_s_agg,prompt_tok_s_agg,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,queue_ms_p50,queue_ms_p95,queue_ms_p99,queue_ms_mean,queue_ms_max,service_ms_p50,service_ms_p95,service_ms_p99,service_ms_mean,service_ms_max,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac
conc-t6-c1,6,1,16,0,53.05,0.302,73.8,0.0,9.65,589.36,3243.43,4401.81,4401.81,3315.43,4401.81,2642.85,3803.32,3803.32,2718.38,3803.32,3.0,8.16,8.16,3.31,8.16,3240.68,4393.65,4393.65,3312.12,4393.65,2336,2336,0,0,16533716388,0,169274743,0,0.0,7077.79,0.0
conc-t6-c2,6,2,16,0,50.03,0.32,76.2,0.0,10.23,624.85,6254.11,6365.27,6365.27,6253.07,6365.27,2733.87,5426.99,5426.99,2899.11,5426.99,46.27,2663.06,2663.06,1164.06,2663.06,6193.1,6338.5,6338.5,5089.01,6338.5,2368,2368,0,0,15705836856,0,169274743,0,0.0,6632.532,0.0
conc-t6-c4,6,4,16,0,48.35,0.331,78.2,0,10.59,646.66,11853.96,18069.22,18069.22,12077.12,18069.22,2925.18,6225.62,6225.62,3656.92,6225.62,2646.21,5899.74,5899.74,1887.81,5899.74,11807.55,12594.68,12594.68,10189.3,12594.68,2336,2336,0,0,15130406824,0,169274743,0,0.0,6477.058,0.0
conc-t6-c8,6,8,16,0,48.61,0.329,81.0,0.0,10.53,643.2,24672.83,41167.46,41167.46,24238.94,41167.46,5379.27,6883.57,6883.57,4762.24,6883.57,2726.96,18155.89,18155.89,4928.7,18155.89,23530.14,24797.2,24797.2,19310.23,24797.2,2368,2368,0,0,13121660775,0,169274743,0,0.0,5541.242,0.0
