t_s,ctrl_rss_mib,work_rss_mib,gtt_gib,gpu_busy,degC
715,5232.3,3029.6,58.41,99,59.0
720,5232.3,3029.6,58.41,99,58.5
725,5232.5,3029.6,58.41,7,59.0
730,5232.3,3029.6,58.41,84,59.0
735,5232.3,3029.6,58.41,99,59.0
740,5232.3,3029.6,58.41,99,59.0
745,5232.5,3029.6,58.41,1,59.0
750,5232.3,3029.6,58.41,97,58.5
755,5232.3,3029.6,58.41,99,58.5
760,5232.5,3029.6,58.41,22,59.0
765,5232.3,3029.6,58.41,47,59.0
770,5232.3,3029.6,58.41,99,59.0
775,5232.3,3029.6,58.41,99,58.5
780,5232.5,3029.6,58.41,3,58.5
785,5232.3,3029.6,58.41,92,58.5
790,5232.3,3029.6,58.41,99,59.0
795,5232.5,3029.6,58.41,67,58.5
800,5232.4,3029.6,58.41,0,58.5
805,5232.3,3029.6,58.41,98,58.5
810,5232.3,3029.6,58.41,99,58.5
815,5232.5,3029.6,58.41,10,59.0
820,5232.3,3029.6,58.41,77,59.0
825,5232.3,3029.6,58.41,99,58.5
830,5232.3,3029.6,58.41,99,59.0
835,5232.5,3029.6,58.41,1,59.0
840,5232.3,3029.6,58.41,96,59.0
845,5232.3,3029.6,58.41,99,59.0
850,5232.6,3029.6,58.41,30,58.5
855,5232.3,2880.0,58.41,32,59.0
860,5232.3,3029.6,58.41,99,59.0
865,5232.3,3029.6,58.41,99,58.5
870,5232.6,3029.6,58.41,4,59.0
875,5232.3,3029.6,58.41,90,59.0
880,5232.3,3029.6,58.41,99,59.0
885,5232.6,3029.6,58.41,85,59.0
890,5232.5,3029.6,58.41,1,59.0
895,5232.4,3029.6,58.41,98,59.0
900,5232.4,3029.6,58.41,99,59.0
