arm,threads,concurrency,requests,errors,wall_s,req_per_s,watts,gpu_busy_med,gen_tok_s_agg,prompt_tok_s_agg,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,queue_ms_p50,queue_ms_p95,queue_ms_p99,queue_ms_mean,queue_ms_max,service_ms_p50,service_ms_p95,service_ms_p99,service_ms_mean,service_ms_max,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac
baseline-C-t8,8,1,5,0,15.23,0.328,92.0,0,10.5,641.29,2914.36,3597.89,3597.89,3046.92,3597.89,2366.08,3046.04,3046.04,2502.6,3046.04,3.38,9.16,9.16,4.61,9.16,2911.09,3588.73,3588.73,3042.31,3588.73,704,704,0,0,5600767644,0,168413120,0,0.0,7955.636,0.0
baseline-W-t8,8,1,5,0,53.4,0.094,95.1,99,11.98,2.81,10682.0,10682.63,10682.63,10680.9,10682.63,436.02,436.94,436.94,435.58,436.94,1.73,1.84,1.84,1.71,1.84,10680.28,10681.1,10681.1,10679.18,10681.1,0,0,0,0,0,0,168413120,0,,,
