arm,threads,concurrency,requests,errors,wall_s,req_per_s,watts,gpu_busy_med,gen_tok_s_agg,prompt_tok_s_agg,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,queue_ms_p50,queue_ms_p95,queue_ms_p99,queue_ms_mean,queue_ms_max,service_ms_p50,service_ms_p95,service_ms_p99,service_ms_mean,service_ms_max,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac
baseline-C-t6,6,1,5,0,17.31,0.289,72.1,0,9.24,564.51,3250.04,4371.03,4371.03,3461.37,4371.03,2639.17,3774.32,3774.32,2861.56,3774.32,3.05,9.22,9.22,4.19,9.22,3247.42,4361.81,4361.81,3457.18,4361.81,704,704,0,0,5821290446,0,174516039,0,0.0,8268.878,0.0
baseline-W-t6,6,1,5,0,53.41,0.094,92.8,99,11.98,2.81,10683.41,10684.33,10684.33,10681.61,10684.33,436.77,437.4,437.4,435.87,437.4,1.66,1.97,1.97,1.74,1.97,10681.75,10682.78,10682.78,10679.87,10682.78,0,0,0,0,0,0,174516039,0,,,
