arm,threads,concurrency,requests,errors,wall_s,req_per_s,watts,gpu_busy_med,gen_tok_s_agg,prompt_tok_s_agg,supplied_n_mean,reused_n_mean,eval_n_mean,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,queue_ms_p50,queue_ms_p95,queue_ms_p99,queue_ms_mean,queue_ms_max,service_ms_p50,service_ms_p95,service_ms_p99,service_ms_mean,service_ms_max,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max
conc-t8-c1-cache1,8,1,24,0,1.78,13.469,67.0,0.0,53.88,13.47,1954.0,1953.0,1.0,74.36,80.76,82.03,74.22,82.03,31.13,33.58,34.21,31.24,34.21,2.9,3.6,3.77,3.12,3.77,71.6,77.67,78.43,71.11,78.43,0,0,0,0,0,0,170221111,0
conc-t8-c2-cache1,8,2,24,0,1.32,18.151,95.8,0,72.6,18.15,1954.0,1953.0,1.0,107.5,118.91,119.3,109.42,119.3,45.39,46.35,46.38,44.05,46.38,3.27,18.94,20.35,7.71,20.35,103.71,105.77,105.78,101.71,105.78,0,0,0,0,0,0,170221111,0
conc-t8-c4-cache1,8,4,24,0,0.86,27.944,99.5,0.0,111.77,27.94,1954.0,1953.0,1.0,143.85,149.37,149.67,143.04,149.67,59.97,62.28,62.32,60.45,62.32,3.88,4.34,4.45,3.88,4.45,140.12,145.38,145.41,139.15,145.41,0,0,0,0,0,0,170221111,0
conc-t8-c8-cache1,8,8,24,0,0.73,32.916,86.9,0.0,131.66,32.92,1954.0,1953.0,1.0,244.01,245.8,245.95,242.58,245.95,104.55,108.78,108.81,104.98,108.81,4.99,5.8,6.0,4.92,6.0,239.23,240.11,240.12,237.67,240.12,0,0,0,0,0,0,170221111,0
