label,stage,d,M,K,N,cols,cores,tile_m,tile_k,tile_n,b_col_maj,build_s,reps,kernel_ms,kernel_ms_min,kernel_ms_sd,dispatch_ms,macs,gflop,tflops,tmacs,b_q,b_kv,in_bytes,out_bytes,l1_bytes_est,l1_fits,rel_l2,xclbin_name,xclbin_bytes,xclbin_sha256,insts_name,insts_bytes,insts_sha256,kernel_obj_bytes,build_error
QK d64 64x64,qk,64,2048,2048,2048,8,32,64,64,64,1,7.5,25,4.0328,3.9977,0.0189,4.0399,8589934592,17.18,4.2601,2.13,64,64,16777216,8388608,52488,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc1_cc0_c8_npu2.xclbin,107214,9fa9f989670b116fcbbdeb11db9d15b09183fd41682dcc4ff68e8ce85af9d28c,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc1_cc0_c8_npu2.bin,19088,59fee3533a065257281d5e84e387681c11fd0177e56e0b9ac7b1eaadd3a0d8d9,2984,
QK d64 32x64,qk,64,2048,2048,2048,8,32,32,64,64,1,7.6,25,6.8704,6.7874,0.0705,6.8775,8589934592,17.18,2.5006,1.2503,32,64,16777216,8388608,36104,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc1_cc0_c8_npu2.xclbin,106702,0291027d019a15f7a3102497279e4c555003d43e0dc50637d4156f12c08b8d34,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc1_cc0_c8_npu2.bin,35856,20225fbc0e8505013a280c337624b8f070dea3ba712e618aff8c7378a73d4fc0,2984,
QK d128 32x64,qk,128,2048,2048,2048,8,32,32,128,64,1,7.6,25,5.4996,5.2468,0.0838,5.5047,8589934592,17.18,3.1239,1.5619,32,64,16777216,8388608,60680,1,0.010602346621453762,GEMM_M2048_K2048_N2048_tm32_tk128_tn64_bc1_cc0_c8_npu2.xclbin,107726,8e875c134db6d7643baa53477b505a20565b5be1cb300f20a96ce47d7d1e412e,GEMM_M2048_K2048_N2048_tm32_tk128_tn64_bc1_cc0_c8_npu2.bin,35856,75cd452a2a2a0c3e08b8b0493a2e815ef88e3351a6b16439a2deae27c96f686a,3016,
QK d64 64x32,qk,64,2048,2048,2048,8,32,64,64,32,1,7.4,25,5.583,5.5171,0.0374,5.5907,8589934592,17.18,3.0772,1.5386,64,32,16777216,8388608,36104,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm64_tk64_tn32_bc1_cc0_c8_npu2.xclbin,106702,83e31e259f75c9513fbbc1f5acc6421a26efe454ceb0c44b77614877746fb777,GEMM_M2048_K2048_N2048_tm64_tk64_tn32_bc1_cc0_c8_npu2.bin,19088,4f1d6bb89e59c298fbe6267080627922e2ba74e9133532b9516d089f72fabfe6,2968,
QK d128 64x32,qk,128,2048,2048,2048,8,32,64,128,32,1,7.4,25,5.4709,5.2971,0.0728,5.4778,8589934592,17.18,3.1403,1.5701,64,32,16777216,8388608,60680,1,0.010602346621453762,GEMM_M2048_K2048_N2048_tm64_tk128_tn32_bc1_cc0_c8_npu2.xclbin,106702,c51ab22531479edbf202368a348215bbc1ed3ab1471079b0fcb306f9405fd2a6,GEMM_M2048_K2048_N2048_tm64_tk128_tn32_bc1_cc0_c8_npu2.bin,19088,36a1cb630b56df5ef8e1203eef01a1794b7454ce7b7306fc898ff6a293e23370,2984,
PV d64 64x64,pv,64,2048,2048,2048,8,32,64,64,64,0,7.4,25,2.8642,2.8279,0.0286,2.8708,8589934592,17.18,5.998,2.999,64,64,16777216,8388608,52488,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc0_cc0_c8_npu2.xclbin,113358,ab3be74e427824ea48e45c2d35e8ddfbbd68f798e8a02d7cf1acce852c1d39b9,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc0_cc0_c8_npu2.bin,19088,814e3b450e30c050b925eeaaae9683adbe17f09a02b5c2462786101e2bb2854b,3176,
PV d64 32x64,pv,64,2048,2048,2048,8,32,32,64,64,0,7.6,25,4.3648,4.3424,0.0112,4.3714,8589934592,17.18,3.936,1.968,32,64,16777216,8388608,36104,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc0_cc0_c8_npu2.xclbin,112846,8c13874a11470408810e95f1c718129a92019b01a8e36e32bc6fdc957b0f0c2e,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc0_cc0_c8_npu2.bin,35856,421657c012016fd7070c613dedebd5475c6b55368c646b2a037688d9089634a3,3160,
PV d128 32x64,pv,128,2048,2048,2048,8,32,32,64,128,0,7.6,25,3.1452,3.1234,0.0108,3.1526,8589934592,17.18,5.4623,2.7312,32,64,16777216,8388608,60680,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm32_tk64_tn128_bc0_cc0_c8_npu2.xclbin,113870,75c0e5afce737bf7f9ebb7922e4a89019560a1c1f521056157fef9d65e6bfa03,GEMM_M2048_K2048_N2048_tm32_tk64_tn128_bc0_cc0_c8_npu2.bin,35856,f99b97eee4e3d89c55449b56221f93508b58738ac53ce24998baeded4617b519,3224,
PV d64 64x32,pv,64,2048,2048,2048,8,32,64,32,64,0,7.4,25,3.2397,3.2096,0.0146,3.2468,8589934592,17.18,5.303,2.6515,64,32,16777216,8388608,36104,1,0.013353368267416954,GEMM_M2048_K2048_N2048_tm64_tk32_tn64_bc0_cc0_c8_npu2.xclbin,111310,c6e48a988f74d5157f6b3c416926bcdab485454932ff7a5724e3785f3f352650,GEMM_M2048_K2048_N2048_tm64_tk32_tn64_bc0_cc0_c8_npu2.bin,19088,8a6c9602190e8565a7a18bb92bea7fcc674ecb0f9c6d192e03f295bbed97f10e,3144,
PV d128 64x32,pv,128,2048,2048,2048,8,32,64,32,128,0,7.4,25,2.0399,2.0284,0.1526,2.0435,8589934592,17.18,8.4219,4.2109,64,32,16777216,8388608,60680,1,0.013353368267416954,GEMM_M2048_K2048_N2048_tm64_tk32_tn128_bc0_cc0_c8_npu2.xclbin,111822,77851e019668fbdd0a34822b192f70b8eecf02f14be2b9b31afa748d214cfc92,GEMM_M2048_K2048_N2048_tm64_tk32_tn128_bc0_cc0_c8_npu2.bin,19088,fff9684fecdc71ac8f35af967013a8b66e0e6cb1fa8c0703364101fc7db3a570,3160,
QK d128 64x64,qk,128,2048,2048,2048,8,32,64,128,64,1,,,,,,,,,,,,,,,85256,0,,,,,,,,,"RuntimeError: [aiecc] Compilation failed with exit code 1:
aiecc: (1/37) input.mlir (0 inputs) took 0 ms
aiecc: (2/37) placed.mlir (1 inputs) took 6 ms
aiecc: (3/37) traced.mlir (1 inputs) took 6 ms
/tmp/bitnet-geo"
