regime,turn,supplied_n,reused_n,eval_n,prompt_ms,ttft_ms,total_ms,rebased,state_version
B spine reuse,14,2328,2300,28,131.32,145.34,190.61,0,6e6a8810eb1db8a1
B spine reuse,15,2346,2318,28,132.54,147.5,195.6,0,8ed461298d3b7b86
B spine reuse,16,2364,2336,28,133.36,147.04,191.38,0,b4eed09180a68082
B spine reuse,17,2382,2354,28,137.34,155.32,212.45,0,90624bb04b821f95
B spine reuse,18,2400,2372,28,135.9,151.72,202.43,0,6060d0ac50d9fac3
B spine reuse,19,2418,2390,28,137.68,151.64,196.92,0,42dcdb86f0ec5527
B spine reuse,20,2436,2408,28,135.22,148.79,192.85,0,7d8bc6925a3bc1c5
B spine reuse,21,2454,2426,28,144.11,161.23,216.1,0,872ed1557e3a1f01
B spine reuse,22,2472,2444,28,133.02,146.8,191.75,0,955664455b819cef
B spine reuse,23,2490,2462,28,140.95,155.9,204.18,0,e6c504b3a1eddb93
B spine reuse,24,2508,2480,28,138.17,151.89,196.27,0,1709f025e6da0654
B spine reuse,25,2526,2498,28,143.6,158.76,207.64,0,6bd2eddc8e8f466d
B spine reuse,26,2544,2516,28,141.74,156.75,205.13,0,8c94227a626cd7f1
B spine reuse,27,,,,,,3.1,0,0cb1ccb9e92b2797
B spine reuse,28,,,,,,2.45,0,902556e755b4e595
B spine reuse,29,,,,,,2.08,0,de5b74b722e6bdd5
B spine reuse,30,,,,,,2.22,0,1b45266ab9c188d3
B spine reuse,31,,,,,,1.92,0,b3d016e7cc7998c0
B spine reuse,32,,,,,,1.85,0,c9cab98251c013a9
B spine reuse,33,,,,,,1.88,0,008b4fdfa3b00b50
B spine reuse,34,,,,,,1.82,0,6ab9c8d0c7675eb2
B spine reuse,35,,,,,,1.87,0,6e0bb6a0ca9ea2e3
B spine reuse,36,,,,,,1.87,0,e0462d75b805b06b
B spine reuse,37,,,,,,1.87,0,cf10f34500b990da
B spine reuse,38,,,,,,1.88,0,df3b3945c2a239f2
B spine reuse,39,,,,,,1.79,0,c233e49623e7d782
B spine reuse,40,,,,,,2.24,0,e5221e0ba03eb0ec
B spine reuse,41,,,,,,2.13,0,41bee671093c4cdc
B spine reuse,42,,,,,,1.86,0,564a514eb7b9b11a
B spine reuse,43,,,,,,1.78,0,623d143f07e10fc1
B spine reuse,44,,,,,,1.77,0,951fae24d030b0fb
B spine reuse,45,,,,,,1.79,0,8991ffd826bf9448
B spine reuse,46,,,,,,1.8,0,2e4113df06adff3c
B spine reuse,47,,,,,,1.86,0,0fd83775fb83fbfa
B spine reuse,48,,,,,,2.04,0,fa472b33ba2a2ff3
B spine reuse,49,,,,,,2.74,0,4c19b19a3c8e4b65
B spine reuse,50,,,,,,2.51,0,0898e6464cb8f099
C rebase/10,1,2094,2084,10,57.15,70.25,111.64,0,3ca1c5354eb5bc6a
C rebase/10,2,2112,2084,28,124.51,138.09,181.93,0,bb9e6e46708f447f
C rebase/10,3,2130,2102,28,127.84,141.24,184.48,0,d62468582b4660ad
C rebase/10,4,2148,2120,28,127.11,140.8,184.95,0,b3f661ce875dff79
C rebase/10,5,2166,2138,28,123.32,136.44,178.9,0,bd799904ac242ad0
C rebase/10,6,2184,2156,28,129.75,142.93,185.64,0,fda6254b68c3f34d
C rebase/10,7,2202,2174,28,140.63,154.04,197.4,0,0f03a5dde1ce7ed7
C rebase/10,8,2220,2192,28,126.03,139.11,181.59,0,a4162b450cc32271
C rebase/10,9,2238,2210,28,131.66,144.74,187.13,0,78542f722a2c9fe1
C rebase/10,10,2256,2246,10,62.34,76.42,121.86,1,bb42ab0d040ea6c7
C rebase/10,11,2274,2246,28,136.37,151.82,201.28,0,2389e7e0a5e71544
C rebase/10,12,2292,2264,28,139.84,154.12,200.12,0,b41c1bf51da07ca2
C rebase/10,13,2310,2282,28,143.28,157.08,201.68,0,2dd1e09eaa12ab16
C rebase/10,14,2328,2300,28,131.16,145.89,193.23,0,6e6a8810eb1db8a1
C rebase/10,15,2346,2318,28,130.51,145.13,192.24,0,8ed461298d3b7b86
C rebase/10,16,2364,2336,28,132.38,146.73,193.04,0,b4eed09180a68082
C rebase/10,17,2382,2354,28,128.28,143.24,191.28,0,90624bb04b821f95
C rebase/10,18,2400,2372,28,134.13,148.68,195.54,0,6060d0ac50d9fac3
C rebase/10,19,2418,2390,28,135.2,148.84,192.97,0,42dcdb86f0ec5527
C rebase/10,20,2436,2426,10,66.05,80.51,127.16,1,7d8bc6925a3bc1c5
C rebase/10,21,2454,2426,28,156.19,170.44,216.48,0,872ed1557e3a1f01
C rebase/10,22,2472,2444,28,140.79,154.63,199.35,0,955664455b819cef
C rebase/10,23,2490,2462,28,135.96,149.38,192.92,0,e6c504b3a1eddb93
C rebase/10,24,2508,2480,28,146.71,160.35,204.52,0,1709f025e6da0654
C rebase/10,25,2526,2498,28,143.16,156.8,200.93,0,6bd2eddc8e8f466d
C rebase/10,26,2544,2516,28,135.42,148.89,192.53,0,8c94227a626cd7f1
C rebase/10,27,,,,,,3.17,0,0cb1ccb9e92b2797
C rebase/10,28,,,,,,2.52,0,902556e755b4e595
C rebase/10,29,,,,,,2.07,0,de5b74b722e6bdd5
C rebase/10,30,,,,,,2.38,1,1b45266ab9c188d3
C rebase/10,31,,,,,,1.82,0,b3d016e7cc7998c0
C rebase/10,32,,,,,,1.99,0,c9cab98251c013a9
C rebase/10,33,,,,,,1.83,0,008b4fdfa3b00b50
C rebase/10,34,,,,,,1.8,0,6ab9c8d0c7675eb2
C rebase/10,35,,,,,,1.81,0,6e0bb6a0ca9ea2e3
C rebase/10,36,,,,,,1.9,0,e0462d75b805b06b
C rebase/10,37,,,,,,1.87,0,cf10f34500b990da
C rebase/10,38,,,,,,1.82,0,df3b3945c2a239f2
C rebase/10,39,,,,,,2.13,0,c233e49623e7d782
C rebase/10,40,,,,,,1.79,1,e5221e0ba03eb0ec
C rebase/10,41,,,,,,1.78,0,41bee671093c4cdc
C rebase/10,42,,,,,,1.77,0,564a514eb7b9b11a
C rebase/10,43,,,,,,1.97,0,623d143f07e10fc1
C rebase/10,44,,,,,,2.0,0,951fae24d030b0fb
C rebase/10,45,,,,,,1.87,0,8991ffd826bf9448
C rebase/10,46,,,,,,1.82,0,2e4113df06adff3c
C rebase/10,47,,,,,,1.81,0,0fd83775fb83fbfa
C rebase/10,48,,,,,,1.8,0,fa472b33ba2a2ff3
C rebase/10,49,,,,,,1.91,0,4c19b19a3c8e4b65
C rebase/10,50,,,,,,1.89,1,0898e6464cb8f099
