frac_of_capacity,offered_rps,scheduled,completed,errors,wall_s,completed_rps,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,total_max,watts
0.5,0.333,66,66,0,152.0,0.434,2856.77,6504.4,,5253.88,13506.67,,15248.7,83.1
0.75,0.499,89,89,0,152.1,0.585,5029.01,12955.51,,12820.05,21958.47,,23662.0,105.8
0.9,0.599,102,102,0,154.0,0.663,12075.05,19068.15,20437.71,21436.89,28174.92,29366.96,29861.2,116.8
1.0,0.665,108,108,0,163.2,0.662,21200.8,27206.22,28720.08,30358.07,36491.58,38068.45,38963.1,117.2
