cell,threads,concurrency,n_predict,requests,errors,wall_s,req_per_s,ttft_p50,ttft_p95,total_p50,total_p95,prompt_ms_mean,gen_ms_mean,watts,gpu_busy_med,ne11_nodes_seen,ne11_nodes_worth,ne11_nodes_offloaded,ne11_declined_shape,ne11_declined_small,ne11_offloaded_hist,ne11_max_offloaded_bucket,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac,slots_total,slots_samples,slots_busy_mean,slots_busy_max,slots_busy_p50,slots_busy_p95,slots_all_idle_frac,b,ub,slots,tb,t
t4-tb8-c1,4,1,32,8,0,24.45,0.327,2335.87,2381.71,3063.58,3089.41,2329.0,724.2,92.4,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8169896631,0,168863144,0,0.0,6900.251,0.0,8,107,0.841,1,1,1,0.159,4096,4096,8,8,4
t4-tb8-c2,4,2,32,8,0,20.17,0.397,4199.28,4206.29,5055.63,5068.66,4180.5,852.6,90.9,0.0,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5866981032,0,168863144,0,0.0,10185.731,0.0,8,83,1.554,2,2,2,0.217,4096,4096,8,8,4
t6-tb8-c1,6,1,32,8,0,23.73,0.337,2362.52,2396.92,2968.8,3010.61,2352.3,611.7,93.0,0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8268839636,0,22948003,0,0.0,6983.817,0.0,8,105,0.838,1,1,1,0.162,4096,4096,8,8,6
t6-tb8-c2,6,2,32,8,0,20.48,0.391,4270.68,4298.02,5119.45,5148.04,4250.2,858.7,91.4,0.0,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5931052901,0,35671565,0,0.0,10296.967,0.0,8,77,1.675,2,2,2,0.156,4096,4096,8,8,6
t6-tb12-c1,6,1,32,8,0,18.34,0.436,1712.21,1732.14,2289.1,2305.73,1711.5,578.6,108.9,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,5492862437,0,22047380,0,0.0,4639.242,0.0,8,103,0.854,1,1,1,0.146,4096,4096,8,12,6
t6-tb12-c2,6,2,32,8,0,17.08,0.468,3485.63,3529.27,4275.26,4322.58,3466.9,793.5,106.1,0,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5678813346,0,34815660,0,0.0,9859.051,0.0,8,61,1.574,2,2,2,0.213,4096,4096,8,12,6
t8-tb8-c1,8,1,32,8,0,23.46,0.341,2368.2,2403.56,2935.38,2964.1,2367.3,562.1,93.4,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8352166713,0,23444285,0,0.0,7054.195,0.0,8,100,0.88,1,1,1,0.12,4096,4096,8,8,8
t8-tb8-c2,8,2,32,8,0,20.97,0.382,4244.37,4819.95,5128.83,5663.0,3781.6,1152.1,92.6,0,27300,1035,735,300,26265,1024:294;2048:441,2048,736,736,0,0,6618436039,0,35118653,0,0.0,8992.44,0.0,8,77,1.662,2,2,2,0.156,4096,4096,8,8,8
