cell,domains,requests,usable,excluded,concurrency,n_predict,delta_lines,threads,wall_s,req_per_s,eval_mean,reused_mean,supplied_mean,ttft_p50,ttft_p95,total_p50,total_p95,contaminated,watts,gpu_busy_med,prefix_tokens,delta_tokens,warm_s,rss_mib,cache_ram,mem_avail_mib,swap_used_mib
d1-delta39,1,32,32,0,1,4,0,4,4.2,7.612,24.3,1615.7,1640,64.42,76.38,131.5,146.81,0,93.4,0,1600,39,1.5,6751.6,8192,37265,8191
d1-delta135,1,32,32,0,1,4,8,4,8.27,3.868,116.8,1618.7,1735.4,201.77,222.56,263.37,285.89,0,107.3,0,1600,135,0.5,6752.3,8192,37273,8191
d1-delta265,1,32,32,0,1,4,19,4,12.93,2.475,243.3,1622.7,1866.1,349.08,357.95,413.49,426.48,0,112.5,0.0,1600,265,0.5,6752.9,8192,37279,8191
d8-delta39,8,32,32,0,1,4,0,4,4.34,7.366,19,1619.5,1638.5,85.58,100.56,146.5,162.9,0,88.6,0,1600,39,9.5,10486.5,8192,33503,8191
d8-delta135,8,32,32,0,1,4,8,4,7.61,4.207,90.0,1643.3,1733.4,220.8,240.27,281.89,303.95,0,97.9,0.0,1600,135,2.5,14677.7,8192,29465,8191
d8-delta265,8,32,32,0,1,4,19,4,11.41,2.804,188.1,1676.0,1864.1,377.92,387.91,441.46,452.32,0,106.6,0,1600,265,4.0,14799.1,8192,28715,8191
d32-delta39,32,32,32,0,1,4,0,4,3.82,8.385,1,1638.5,1639.5,54.84,64.7,118.85,124.98,0,68.3,0.0,1600,39,31.6,14723.1,8192,29146,8191
d32-delta135,32,32,32,0,1,4,8,4,3.88,8.247,1,1733.7,1734.7,57.28,64.41,120.94,130.03,0,69.1,0.0,1600,135,8.5,14806.6,8192,29364,8191
d32-delta265,32,32,32,0,1,4,19,4,4.08,7.85,1,1864.4,1865.4,59.98,64.53,125.36,145.79,0,64.0,0,1600,265,11.0,14693.7,8192,29267,8191
