age_from_newest,idx,eval_n,reused_n,ttft_ms,warm
0,79,120,1614,196.66,1
1,78,120,1612,220.16,1
2,77,120,1614,220.69,1
3,76,120,1612,219.52,1
4,75,121,1613,230.38,1
5,74,119,1614,222.57,1
6,73,121,1619,227.64,1
7,72,120,1610,221.23,1
8,71,120,1612,231.23,1
9,70,121,1614,233.9,1
10,69,121,1615,235.25,1
11,68,119,1616,233.04,1
12,67,120,1618,231.59,1
13,66,121,1614,234.91,1
14,65,120,1610,231.06,1
15,64,121,1618,241.76,1
16,63,120,1609,236.94,1
17,62,121,1613,233.88,1
18,61,120,1612,232.05,1
19,60,121,1615,235.31,1
20,59,119,1614,233.1,1
21,58,119,1619,232.95,1
22,57,120,1612,229.49,1
23,56,120,1614,231.04,1
24,55,121,1613,233.51,1
25,54,120,1618,229.38,1
26,53,119,1613,233.49,1
27,52,119,1611,233.18,1
28,51,120,1614,228.94,1
29,50,121,1618,235.52,1
30,49,119,1620,233.3,1
31,48,121,1611,235.01,1
32,47,121,1613,232.76,1
33,46,121,1612,232.98,1
34,45,121,1615,235.98,1
35,44,121,1615,234.69,1
36,43,119,1615,232.43,1
37,42,121,1617,233.47,1
38,41,120,1621,241.61,1
39,40,120,1615,230.19,1
40,39,120,1613,251.17,1
41,38,120,1613,231.32,1
42,37,120,1613,232.51,1
43,36,120,1617,243.33,1
44,35,120,1618,233.18,1
45,34,119,1614,236.21,1
46,33,120,1616,241.69,1
47,32,119,1615,234.23,1
48,31,120,1612,232.6,1
49,30,121,1613,233.17,1
50,29,121,1610,271.2,1
51,28,121,1616,235.6,1
52,27,121,1618,236.25,1
53,26,120,1618,229.25,1
54,25,119,1613,231.93,1
55,24,120,1615,229.59,1
56,23,120,1616,228.43,1
57,22,121,1613,234.75,1
58,21,1677,58,1397.53,0
59,20,1674,58,1225.59,0
60,19,1674,58,1241.73,0
