prompt,ub,threads,mode,tok_s,n_micro_batches,mb_pos,category,cpu_ms,npu_ms,count,span_ms,npu_eligible
3968,2048,15,hybrid,970.17,2,0,attention,600.0,0.0,30,1653.8,0
3968,2048,15,hybrid,970.17,2,0,ffn_down,111.38,110.07,30,1653.8,1
3968,2048,15,hybrid,970.17,2,0,ffn_up,99.24,111.08,30,1653.8,1
3968,2048,15,hybrid,970.17,2,0,ffn_gate,92.31,111.8,30,1653.8,1
3968,2048,15,hybrid,970.17,2,0,norm,88.22,0.0,121,1653.8,0
3968,2048,15,hybrid,970.17,2,0,attn_out_proj,40.52,37.62,30,1653.8,1
3968,2048,15,hybrid,970.17,2,0,attn_q_proj,39.87,36.86,30,1653.8,1
3968,2048,15,hybrid,970.17,2,0,ffn_activation,48.92,0.0,30,1653.8,0
3968,2048,15,hybrid,970.17,2,0,attn_k_proj,39.05,0.0,30,1653.8,0
3968,2048,15,hybrid,970.17,2,0,attn_v_proj,38.38,0.0,30,1653.8,0
3968,2048,15,hybrid,970.17,2,0,residual_add,20.84,0.0,60,1653.8,0
3968,2048,15,hybrid,970.17,2,0,rope,16.87,0.0,60,1653.8,0
3968,2048,15,hybrid,970.17,2,0,lm_head,5.94,0.0,1,1653.8,0
3968,2048,15,hybrid,970.17,2,0,kv_cache_write,2.55,0.0,60,1653.8,0
3968,2048,15,hybrid,970.17,2,0,embedding,0.31,0.0,3,1653.8,0
3968,2048,15,hybrid,970.17,2,1,attention,1387.56,0.0,30,2403.6,0
3968,2048,15,hybrid,970.17,2,1,ffn_down,106.47,109.11,30,2403.6,1
3968,2048,15,hybrid,970.17,2,1,ffn_up,95.85,110.43,30,2403.6,1
3968,2048,15,hybrid,970.17,2,1,ffn_gate,89.41,111.05,30,2403.6,1
3968,2048,15,hybrid,970.17,2,1,norm,82.75,0.0,121,2403.6,0
3968,2048,15,hybrid,970.17,2,1,attn_out_proj,41.09,36.08,30,2403.6,1
3968,2048,15,hybrid,970.17,2,1,attn_q_proj,38.61,36.82,30,2403.6,1
3968,2048,15,hybrid,970.17,2,1,ffn_activation,44.73,0.0,30,2403.6,0
3968,2048,15,hybrid,970.17,2,1,attn_v_proj,35.21,0.0,30,2403.6,0
3968,2048,15,hybrid,970.17,2,1,attn_k_proj,35.11,0.0,30,2403.6,0
3968,2048,15,hybrid,970.17,2,1,residual_add,19.64,0.0,60,2403.6,0
3968,2048,15,hybrid,970.17,2,1,rope,16.22,0.0,60,2403.6,0
3968,2048,15,hybrid,970.17,2,1,lm_head,5.78,0.0,1,2403.6,0
3968,2048,15,hybrid,970.17,2,1,kv_cache_write,2.32,0.0,60,2403.6,0
3968,2048,15,hybrid,970.17,2,1,embedding,0.29,0.0,3,2403.6,0
3968,2048,15,cpu,839.99,2,0,attention,597.07,0.0,30,2010.4,0
3968,2048,15,cpu,839.99,2,0,ffn_gate,302.24,0.0,30,2010.4,1
3968,2048,15,cpu,839.99,2,0,ffn_up,299.44,0.0,30,2010.4,1
3968,2048,15,cpu,839.99,2,0,ffn_down,292.06,0.0,30,2010.4,1
3968,2048,15,cpu,839.99,2,0,attn_q_proj,119.23,0.0,30,2010.4,1
3968,2048,15,cpu,839.99,2,0,attn_out_proj,113.51,0.0,30,2010.4,1
3968,2048,15,cpu,839.99,2,0,norm,95.69,0.0,121,2010.4,0
3968,2048,15,cpu,839.99,2,0,ffn_activation,53.89,0.0,30,2010.4,0
3968,2048,15,cpu,839.99,2,0,attn_v_proj,42.82,0.0,30,2010.4,0
3968,2048,15,cpu,839.99,2,0,attn_k_proj,39.93,0.0,30,2010.4,0
3968,2048,15,cpu,839.99,2,0,residual_add,22.99,0.0,60,2010.4,0
3968,2048,15,cpu,839.99,2,0,rope,19.48,0.0,60,2010.4,0
3968,2048,15,cpu,839.99,2,0,lm_head,6.89,0.0,1,2010.4,0
3968,2048,15,cpu,839.99,2,0,kv_cache_write,2.94,0.0,60,2010.4,0
3968,2048,15,cpu,839.99,2,0,embedding,0.34,0.0,3,2010.4,0
3968,2048,15,cpu,839.99,2,1,attention,1378.26,0.0,30,2701.7,0
3968,2048,15,cpu,839.99,2,1,ffn_gate,281.72,0.0,30,2701.7,1
3968,2048,15,cpu,839.99,2,1,ffn_up,280.88,0.0,30,2701.7,1
3968,2048,15,cpu,839.99,2,1,ffn_down,273.62,0.0,30,2701.7,1
3968,2048,15,cpu,839.99,2,1,attn_q_proj,111.77,0.0,30,2701.7,1
3968,2048,15,cpu,839.99,2,1,attn_out_proj,105.73,0.0,30,2701.7,1
3968,2048,15,cpu,839.99,2,1,norm,91.3,0.0,121,2701.7,0
3968,2048,15,cpu,839.99,2,1,ffn_activation,50.42,0.0,30,2701.7,0
3968,2048,15,cpu,839.99,2,1,attn_v_proj,40.07,0.0,30,2701.7,0
3968,2048,15,cpu,839.99,2,1,attn_k_proj,37.46,0.0,30,2701.7,0
3968,2048,15,cpu,839.99,2,1,residual_add,22.18,0.0,60,2701.7,0
3968,2048,15,cpu,839.99,2,1,rope,17.56,0.0,60,2701.7,0
3968,2048,15,cpu,839.99,2,1,lm_head,6.87,0.0,1,2701.7,0
3968,2048,15,cpu,839.99,2,1,kv_cache_write,2.64,0.0,60,2701.7,0
3968,2048,15,cpu,839.99,2,1,embedding,0.37,0.0,3,2701.7,0
3968,1024,15,hybrid,773.51,4,0,ffn_up,86.04,98.14,30,979.2,1
3968,1024,15,hybrid,773.51,4,0,ffn_gate,80.75,101.0,30,979.2,1
3968,1024,15,hybrid,773.51,4,0,ffn_down,80.61,99.93,30,979.2,1
3968,1024,15,hybrid,773.51,4,0,attention,160.15,0.0,30,979.2,0
3968,1024,15,hybrid,773.51,4,0,attn_out_proj,38.92,39.09,30,979.2,1
3968,1024,15,hybrid,773.51,4,0,attn_q_proj,35.43,33.28,30,979.2,1
3968,1024,15,hybrid,773.51,4,0,norm,45.88,0.0,121,979.2,0
3968,1024,15,hybrid,773.51,4,0,ffn_activation,21.26,0.0,30,979.2,0
3968,1024,15,hybrid,773.51,4,0,attn_k_proj,20.46,0.0,30,979.2,0
3968,1024,15,hybrid,773.51,4,0,attn_v_proj,19.51,0.0,30,979.2,0
3968,1024,15,hybrid,773.51,4,0,rope,7.65,0.0,60,979.2,0
3968,1024,15,hybrid,773.51,4,0,residual_add,6.99,0.0,60,979.2,0
3968,1024,15,hybrid,773.51,4,0,kv_cache_write,1.6,0.0,60,979.2,0
3968,1024,15,hybrid,773.51,4,0,embedding,0.15,0.0,3,979.2,0
3968,1024,15,hybrid,773.51,4,1,attention,415.79,0.0,30,1224.2,0
3968,1024,15,hybrid,773.51,4,1,ffn_up,85.84,97.98,30,1224.2,1
3968,1024,15,hybrid,773.51,4,1,ffn_down,79.56,99.36,30,1224.2,1
3968,1024,15,hybrid,773.51,4,1,ffn_gate,77.15,100.62,30,1224.2,1
3968,1024,15,hybrid,773.51,4,1,attn_out_proj,38.07,39.31,30,1224.2,1
3968,1024,15,hybrid,773.51,4,1,attn_q_proj,35.25,33.11,30,1224.2,1
3968,1024,15,hybrid,773.51,4,1,norm,45.71,0.0,121,1224.2,0
3968,1024,15,hybrid,773.51,4,1,ffn_activation,21.15,0.0,30,1224.2,0
3968,1024,15,hybrid,773.51,4,1,attn_k_proj,19.28,0.0,30,1224.2,0
3968,1024,15,hybrid,773.51,4,1,attn_v_proj,18.66,0.0,30,1224.2,0
3968,1024,15,hybrid,773.51,4,1,rope,7.89,0.0,60,1224.2,0
3968,1024,15,hybrid,773.51,4,1,residual_add,7.26,0.0,60,1224.2,0
3968,1024,15,hybrid,773.51,4,1,lm_head,5.66,0.0,1,1224.2,0
3968,1024,15,hybrid,773.51,4,1,kv_cache_write,1.26,0.0,60,1224.2,0
3968,1024,15,hybrid,773.51,4,1,embedding,0.13,0.0,3,1224.2,0
3968,1024,15,hybrid,773.51,4,2,attention,678.02,0.0,30,1482.1,0
3968,1024,15,hybrid,773.51,4,2,ffn_up,83.68,98.04,30,1482.1,1
3968,1024,15,hybrid,773.51,4,2,ffn_down,80.0,99.51,30,1482.1,1
3968,1024,15,hybrid,773.51,4,2,ffn_gate,78.02,100.35,30,1482.1,1
3968,1024,15,hybrid,773.51,4,2,attn_out_proj,37.45,38.2,30,1482.1,1
3968,1024,15,hybrid,773.51,4,2,attn_q_proj,35.42,33.11,30,1482.1,1
3968,1024,15,hybrid,773.51,4,2,norm,44.81,0.0,121,1482.1,0
3968,1024,15,hybrid,773.51,4,2,ffn_activation,20.69,0.0,30,1482.1,0
3968,1024,15,hybrid,773.51,4,2,attn_k_proj,18.46,0.0,30,1482.1,0
3968,1024,15,hybrid,773.51,4,2,attn_v_proj,17.59,0.0,30,1482.1,0
3968,1024,15,hybrid,773.51,4,2,rope,7.56,0.0,60,1482.1,0
3968,1024,15,hybrid,773.51,4,2,residual_add,7.33,0.0,60,1482.1,0
3968,1024,15,hybrid,773.51,4,2,kv_cache_write,1.12,0.0,60,1482.1,0
3968,1024,15,hybrid,773.51,4,2,embedding,0.15,0.0,3,1482.1,0
3968,1024,15,hybrid,773.51,4,3,attention,807.87,0.0,30,1416.8,0
3968,1024,15,hybrid,773.51,4,3,ffn_up,129.63,0.0,30,1416.8,1
3968,1024,15,hybrid,773.51,4,3,ffn_gate,127.93,0.0,30,1416.8,1
3968,1024,15,hybrid,773.51,4,3,ffn_down,127.61,0.0,30,1416.8,1
3968,1024,15,hybrid,773.51,4,3,attn_q_proj,53.05,0.0,30,1416.8,1
3968,1024,15,hybrid,773.51,4,3,attn_out_proj,51.06,0.0,30,1416.8,1
3968,1024,15,hybrid,773.51,4,3,norm,41.98,0.0,121,1416.8,0
3968,1024,15,hybrid,773.51,4,3,ffn_activation,19.51,0.0,30,1416.8,0
3968,1024,15,hybrid,773.51,4,3,attn_v_proj,18.37,0.0,30,1416.8,0
3968,1024,15,hybrid,773.51,4,3,attn_k_proj,17.56,0.0,30,1416.8,0
3968,1024,15,hybrid,773.51,4,3,residual_add,9.24,0.0,60,1416.8,0
3968,1024,15,hybrid,773.51,4,3,rope,8.76,0.0,60,1416.8,0
3968,1024,15,hybrid,773.51,4,3,lm_head,5.98,0.0,1,1416.8,0
3968,1024,15,hybrid,773.51,4,3,kv_cache_write,1.2,0.0,60,1416.8,0
3968,1024,15,hybrid,773.51,4,3,embedding,0.15,0.0,3,1416.8,0
3968,1024,15,cpu,821.2,4,0,attention,165.13,0.0,30,875.7,0
3968,1024,15,cpu,821.2,4,0,ffn_gate,153.4,0.0,30,875.7,1
