prompt,ub,threads,mode,tok_s,n_micro_batches,mb_pos,category,cpu_ms,npu_ms,count,span_ms,npu_eligible
2048,1024,15,cpu,1016.01,2,0,ffn_down,146.33,0.0,30,873.4,1
2048,1024,15,cpu,1016.01,2,0,attn_out_proj,61.39,0.0,30,873.4,1
2048,1024,15,cpu,1016.01,2,0,attn_q_proj,59.42,0.0,30,873.4,1
2048,1024,15,cpu,1016.01,2,0,norm,51.55,0.0,121,873.4,0
2048,1024,15,cpu,1016.01,2,0,ffn_activation,23.9,0.0,30,873.4,0
2048,1024,15,cpu,1016.01,2,0,attn_v_proj,21.19,0.0,30,873.4,0
2048,1024,15,cpu,1016.01,2,0,attn_k_proj,20.09,0.0,30,873.4,0
2048,1024,15,cpu,1016.01,2,0,residual_add,10.58,0.0,60,873.4,0
2048,1024,15,cpu,1016.01,2,0,rope,9.38,0.0,60,873.4,0
2048,1024,15,cpu,1016.01,2,0,kv_cache_write,2.64,0.0,60,873.4,0
2048,1024,15,cpu,1016.01,2,0,embedding,0.17,0.0,3,873.4,0
2048,1024,15,cpu,1016.01,2,1,attention,418.83,0.0,30,1131.8,0
2048,1024,15,cpu,1016.01,2,1,ffn_gate,150.28,0.0,30,1131.8,1
2048,1024,15,cpu,1016.01,2,1,ffn_up,148.35,0.0,30,1131.8,1
2048,1024,15,cpu,1016.01,2,1,ffn_down,146.45,0.0,30,1131.8,1
2048,1024,15,cpu,1016.01,2,1,attn_out_proj,60.9,0.0,30,1131.8,1
2048,1024,15,cpu,1016.01,2,1,attn_q_proj,60.44,0.0,30,1131.8,1
2048,1024,15,cpu,1016.01,2,1,norm,51.5,0.0,121,1131.8,0
2048,1024,15,cpu,1016.01,2,1,ffn_activation,23.78,0.0,30,1131.8,0
2048,1024,15,cpu,1016.01,2,1,attn_v_proj,21.3,0.0,30,1131.8,0
2048,1024,15,cpu,1016.01,2,1,attn_k_proj,20.2,0.0,30,1131.8,0
2048,1024,15,cpu,1016.01,2,1,residual_add,11.03,0.0,60,1131.8,0
2048,1024,15,cpu,1016.01,2,1,rope,9.44,0.0,60,1131.8,0
2048,1024,15,cpu,1016.01,2,1,lm_head,6.84,0.0,1,1131.8,0
2048,1024,15,cpu,1016.01,2,1,kv_cache_write,2.1,0.0,60,1131.8,0
2048,1024,15,cpu,1016.01,2,1,embedding,0.15,0.0,3,1131.8,0
